;Noms_R;ID_ech;Bioreacteur;Inoculum;Material;Day;Jour;Campaign;Camp_graph;Camp_graphique;Camp_Day_Mat;graphe_ATB;Camp_Day;Camp_Jour;campaign  ;Campagne  ;Dosage;FQ1;FQ2;ATB_type;Type_ATB;ATB_camp;ATB;;16S (log absolu);qnrA;qnrB;qnrC;qnrD;qnrS
VD-DBIbiofilm-ech60_GAGAAC-JNFP8_L001;AJ07B1C;60;B1;Waste Water;C;Day 07;Jour 07;A;A;A;AJ07C;BJ07P;AJ07;AJ07;autre;autre;;;;0;0;0;/;;6.317778084;-6.535399154;-2.774077273;-6.376632387;-2.407804122;-4.31780335
VD-DBIbiofilm-ech61_TGGTGT-JNFP8_L001;AJ14B1C;61;B1;Waste Water;C;Day 14;Jour 14;A;A;A;AJ14C;BJ07P;AJ14;AJ14;autre;autre;;;;0;0;0;/;;7.891912719;-5.092761205;-3.492470989;-7.950767021;-3.224664854;-4.839553355
VD-DBIbiofilm-ech62_AAACAA-JNFP8_L001;AJ14B1P;62;B1;Waste Water;P;Day 14;Jour 14;A;A;A;AJ14P;BJ07P;AJ14;AJ14;autre;autre;;;;0;0;0;/;;7.363995439;-4.748634995;-2.8548215;-7.422849742;-3.258759016;-4.380036975
VD-DBIbiofilm-ech63_AGGGAT-JNFP8_L001;AJ14B3P;63;B3;Biofilm + Waste Water;P;Day 14;Jour 14;A;A;A;AJ14P;BJ07P;AJ14;AJ14;autre;autre;;;;0;0;0;/;;6.99550493;-4.198909025;-2.411314458;-7.054359232;-2.501227619;-3.977827709
VD-DBIbiofilm-ech68_GCAATA-JNFP8_L001;AJ07B2C;68;B2;Waste Water;C;Day 07;Jour 07;A;A;A;AJ07C;BJ14C;AJ07;AJ07;autre;autre;;;;0;0;0;/;;7.883777703;-4.874871529;-2.660415665;-7.942632006;-2.203290589;-3.960697851
VD-DBIbiofilm-ech69_CAATTA-JNFP8_L001;AJ07B3C;69;B3;Biofilm + Waste Water;C;Day 07;Jour 07;A;A;A;AJ07C;BJ14C;AJ07;AJ07;autre;autre;;;;0;0;0;0;;8.077983666;-5.339351772;-5.835813723;-8.136837969;-3.351767745;-4.239424829
VD-DBIbiofilm-ech70_CAATGC-JNFP8_L001;AJ07B4C;70;B4;Biofilm + Waste Water;C;Day 07;Jour 07;A;A;A;AJ07C;BJ14C;AJ07;AJ07;autre;autre;;;;0;0;0;0;;7.971285057;-5.081557895;-2.803582844;-8.03013936;-2.287854817;-4.267221572
VD-DBIbiofilm-ech71_TGTTCG-JNFP8_L001;AJ07B1P;71;B1;Waste Water;P;Day 07;Jour 07;A;A;A;AJ07P;BJ14C;AJ07;AJ07;autre;autre;;;;0;0;0;/;;5.800031063;-3.981252197;-2.28343324;-5.858885366;-2.45881867;-3.497829874
VD-DBIbiofilm-ech72_CCAACA-JNFP8_L001;AJ07B2P;72;B2;Waste Water;P;Day 07;Jour 07;A;A;A;AJ07P;BJ14P;AJ07;AJ07;autre;autre;;;;0;0;0;/;;7.64136406;-4.891983316;-2.430484777;-7.700218363;-2.518693408;-3.967118295
VD-DBIbiofilm-ech73_CTACCG-JNFP8_L001;AJ07B3P;73;B3;Biofilm + Waste Water;P;Day 07;Jour 07;A;A;A;AJ07P;BJ14P;AJ07;AJ07;autre;autre;;;;0;0;0;/;;7.113817607;-4.972399644;-2.202466621;-7.17267191;-2.291860859;-3.710680864
VD-DBIbiofilm-ech74_TCGTTC-JNFP8_L001;AJ07B4P;74;B4;Biofilm + Waste Water;P;Day 07;Jour 07;A;A;A;AJ07P;BJ14P;AJ07;AJ07;autre;autre;;;;0;0;0;/;;6.886524706;-4.599445541;1.832942652;-6.945379008;-2.238590203;-3.664614503
VD-DBIbiofilm-ech75_GCGATG-JNFP8_L001;AJ14B2C;75;B2;Waste Water;C;Day 14;Jour 14;A;A;A;AJ14C;Inoc;AJ14;AJ14;autre;autre;;;;0;0;0;/;;7.949954023;-4.57616071;-2.890334631;-8.008808325;-2.506965815;-4.303327495
VD-DBIbiofilm-ech76_ATATAA-JNFP8_L001;AJ14B3C;76;B3;Biofilm + Waste Water;C;Day 14;Jour 14;A;A;A;AJ14C;Inoc;AJ14;AJ14;autre;autre;;;;0;0;0;0;;8.353517917;-4.327943112;-3.304420402;-8.412372219;-2.705087116;-4.437588597
VD-DBIbiofilm-ech77_ATACTG-JNFP8_L001;AJ14B4C;77;B4;Biofilm + Waste Water;C;Day 14;Jour 14;A;A;A;AJ14C;Inoc;AJ14;AJ14;autre;autre;;;;0;0;0;0;;8.40052181;-5.354457362;-3.36898098;-8.459376113;-2.656971209;-4.783076635
VD-DBIbiofilm-ech78_GGAGAG-JNFP8_L001;AJ14B2P;78;B2;Waste Water;P;Day 14;Jour 14;A;A;A;AJ14P;Inoc;AJ14;AJ14;autre;autre;;;;0;0;0;/;;6.849144053;-4.67255276;-2.241341623;-6.907998355;-2.164618221;-3.826440799
VD-DBIbiofilm-ech79_ACGAGA-JNFP8_L001;AJ14B4P;79;B4;Biofilm + Waste Water;P;Day 14;Jour 14;A;A;A;AJ14P;FQ2 (high);AJ14;AJ14;autre;autre;;;;0;0;0;/;;6.380624111;-4.311078882;-2.722456997;-6.439478414;-2.25633308;-3.70424509
VD-DBIbiofilm-ech80_ATTACA-JNFP8_L001;BJ07B1C;80;B1;Waste Water;C;Day 07;Jour 07;B;B;B;BJ07C;FQ1+FQ2 (high);BJ07;BJ07;autre;autre;;;;0;0;0;/;;7.667017047;-4.829502905;-2.777540955;-7.72587135;-2.072528205;-3.9914499
VD-DBIbiofilm-ech81_TGATTT-JNFP8_L001;BJ07B2C;81;B2;Waste Water;C;Day 07;Jour 07;B;B;B;BJ07C;0=témoin (high);BJ07;BJ07;autre;autre;;;;0;0;0;/;;7.618162897;-4.921818541;-3.375377316;-7.677017199;-2.7793631;-4.227273213
VD-DBIbiofilm-ech82_GGGGTG-JNFP8_L001;BJ07B3C;82;B3;Biofilm + Waste Water;C;Day 07;Jour 07;B;B;B;BJ07C;FQ1 (high);BJ07;BJ07;autre;autre;;;;0;0;0;0;;7.605200623;-4.78786148;-2.851775868;-7.664054925;-2.49780277;-4.221634968
