;EJ14B3C11;EJ14B4C11;EJ14B1C12;EJ14B2C12;EJ14B3C12;EJ14B4C12;FJ14B1C11 ;FJ14B2C11;FJ14B3C11;FJ14B4C11;FJ14B1C12;FJ14B2C12;FJ14B3C12;FJ14B4C12;CPEJ0;DPEJ0;EPEJ0;FPEJ0;EJ14B1C11;EJ14B2C11;APEJ0;APBJ0;APBJ0_bis;BPEJ0;APEJ21;BPEJ14;order
Cluster_432;0;0;9;0;0;0;0;0;0;0;0;0;0;0;32;34;26;23;20;0;52;16;29;46;24;27;64
Cluster_45;0;0;8;0;3;0;25;30;228;75;2;30;227;43;0;0;0;0;6;0;0;0;0;0;0;0;36
Cluster_464;2;5;0;7;2;6;1;0;0;0;0;0;0;0;21;21;25;27;4;25;47;0;0;21;2;19;94
Cluster_47;0;0;1;0;0;0;0;0;0;0;0;0;0;0;260;393;364;197;2;0;254;0;1;206;306;589;87
Cluster_471;0;0;1;0;0;0;0;0;0;0;0;0;0;0;40;37;33;43;0;0;46;0;1;39;23;25;76
Cluster_49;0;8;0;0;0;7;0;0;0;0;0;0;0;0;672;423;253;91;0;0;447;9;0;621;10;5;42
Cluster_5;627;4100;515;1085;342;5264;0;1;2;0;0;0;0;0;12;8;19;13;248;337;4;0;4;14;29;5;52
Cluster_50;87;28;28;42;61;69;3;36;43;24;1;19;69;6;0;0;0;3;29;20;1;0;0;3;1;0;60
Cluster_52;53;43;35;29;118;40;0;0;0;0;0;0;0;0;0;0;0;0;34;29;0;0;0;0;0;0;66
Cluster_55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;877;723;0;0;0;20
Cluster_586;0;0;0;2;0;0;0;0;0;0;0;0;0;0;53;41;25;26;0;0;51;3;2;44;35;39;71
Cluster_59;0;0;2;0;0;0;52;67;23;65;43;41;20;66;0;2;0;1;6;0;3;0;0;2;0;0;3
Cluster_6;162;144;433;400;170;149;1529;1510;1609;910;1430;1758;1711;521;8;3;4;5;544;468;2;0;1;1;9;1;47
Cluster_61;0;0;0;0;0;1;0;0;1;0;0;0;0;0;104;145;48;107;0;0;218;18;44;201;430;203;61
Cluster_62;2;6;15;0;0;0;29;5;33;20;41;7;38;34;2;0;0;0;9;0;0;2;0;0;0;0;7
Cluster_63;62;74;179;37;75;40;55;898;166;1164;95;562;155;618;487;414;456;437;123;39;469;34;14;546;606;289;17
Cluster_67;11;375;29;6;12;462;27;45;53;38;4;58;69;23;1;2;4;4;8;5;9;0;0;2;134;67;13
Cluster_7;482;1034;740;2022;626;991;2022;1094;1838;2682;1519;1378;1872;3614;793;866;1023;1277;667;2560;879;57;53;764;629;875;11
Cluster_71;0;0;6;0;1;0;0;2;0;0;0;11;0;0;550;655;525;417;3;1;351;12;18;391;1030;1928;85
Cluster_72;15;0;13;0;16;0;98;39;52;458;49;91;42;332;0;0;1;0;14;0;1;0;0;0;0;0;39
Cluster_74;6;5;4;0;1;8;65;131;132;87;51;140;123;76;0;0;0;0;7;0;0;0;0;0;0;0;9
Cluster_75;36;6;146;4;16;5;0;0;2;0;0;3;0;0;37;34;64;59;224;6;48;59;111;44;282;130;93
Cluster_78;0;0;0;0;0;0;0;0;795;0;0;0;660;0;0;0;0;0;0;0;0;0;0;0;0;0;69
Cluster_85;0;0;19;0;0;0;5;509;2;0;2;180;9;0;0;0;0;0;7;0;3;0;0;0;1;0;15
Cluster_86;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;147;0;0;0;0;0;0;0;72
Cluster_87;0;0;195;0;0;0;19;2;0;0;14;0;0;0;0;0;0;0;250;0;0;0;0;0;3;2;58
Cluster_894;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;12;5;11;0;0;20;22;32;24;58;22;25
Cluster_90;0;581;0;0;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99
Cluster_91;32;54;25;3;25;53;77;179;42;141;57;189;48;238;81;105;70;112;7;3;142;597;322;97;1200;713;21
Cluster_93;1;0;1;0;3;0;0;0;0;0;0;0;0;0;211;287;259;303;1;0;280;66;83;220;411;186;27
Cluster_94;41;29;223;7;62;27;16;30;106;6;12;19;103;27;114;148;130;185;190;10;130;16;26;111;164;98;22
